Fault Buffer,Min Area Fraction,Match Count,Match Fraction,Match Rate,Match Rate Fraction
7.0,9.0,11933,0.047034755,0.19934423,0.42564458
7.0,9.0,13393,0.05278945,0.22168905,0.47335577
7.0,9.0,14724,0.05803568,0.23672347,0.50545764
7.0,9.0,15482,0.061023388,0.26343274,0.56248796
7.0,9.0,16780,0.06613955,0.273627,0.584255
7.0,9.0,19155,0.07550078,0.2857299,0.6100973
7.0,9.0,19699,0.07764499,0.28810096,0.6151601
7.0,9.0,10112,0.039857157,0.1585699,0.33858228
7.0,9.0,29,1.14305534E-4,9.063468E-5,1.9352535E-4
8.0,0.0,8234,0.03245489,0.15270998,0.32607
8.0,9.0,11321,0.044622514,0.19262378,0.41129494
8.0,9.0,12277,0.048390657,0.2131,0.45501626
8.0,9.0,13515,0.05327032,0.23013704,0.49139413
8.0,9.0,14543,0.057322256,0.25657856,0.5478527
8.0,9.0,16144,0.06363271,0.26901808,0.57441384
8.0,9.0,17623,0.06946229,0.27907464,0.5958869
8.0,9.0,18876,0.07440108,0.28077677,0.5995213
8.0,9.0,9614,0.037894256,0.15283796,0.3263433
8.0,9.0,28,1.10363966E-4,8.6294865E-5,1.8425888E-4
9.0,0.0,8051,0.03173358,0.14985643,0.31997707
9.0,9.0,10774,0.042466477,0.18957736,0.40479013
9.0,9.0,11962,0.047149062,0.2079758,0.44407496
9.0,9.0,12931,0.050968442,0.22265486,0.475418
9.0,9.0,13936,0.054929722,0.25113258,0.5362243
9.0,9.0,15061,0.059363987,0.2643915,0.56453514
9.0,9.0,17080,0.067322016,0.27458578,0.58630216
9.0,9.0,17993,0.07092067,0.2764569,0.5902974
9.0,9.0,9266,0.03652259,0.1486967,0.31750077
9.0,9.0,38,1.4977966E-4,9.180016E-5,1.960139E-4
10.0,0.0,7747,0.030535344,0.12987259,0.2773071
10.0,9.0,10461,0.041232765,0.17072862,0.36454386
10.0,9.0,11261,0.04438602,0.2021208,0.43157318
10.0,9.0,12676,0.049963344,0.21892178,0.46744704
10.0,9.0,13454,0.053029884,0.24476305,0.52262396
10.0,9.0,14394,0.05673496,0.25706205,0.5488851
10.0,9.0,16015,0.06312425,0.268163,0.5725881
10.0,9.0,16855,0.066435166,0.27178833,0.580329
10.0,9.0,8919,0.035154864,0.1458172,0.3113524
10.0,9.0,39,1.5372124E-4,9.1838556E-5,1.960959E-4
11.0,0.0,7559,0.02979433,0.12509575,0.26710746
11.0,9.0,9979,0.03933293,0.16363254,0.34939215
11.0,9.0,10654,0.041993488,0.17226885,0.3678326
11.0,9.0,12030,0.04741709,0.19909406,0.42511043
11.0,9.0,12585,0.04960466,0.22753756,0.48584366
11.0,9.0,13975,0.055083442,0.23789515,0.5079594
11.0,9.0,15216,0.05997493,0.24921474,0.5321293
11.0,9.0,16219,0.06392833,0.2524134,0.53895915
11.0,9.0,8444,0.03328262,0.12668195,0.27049434
11.0,9.0,40,1.5766281E-4,9.026591E-5,1.9273795E-4
12.0,0.0,7253,0.02858821,0.12013813,0.25652182
12.0,9.0,9697,0.038221408,0.15933244,0.34021044
12.0,9.0,10272,0.040487807,0.16715075,0.3569043
